sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_spanish_usingrcvguide2.jpg,,3,0
1228-138,,Default,simple,,base,,,,"2010-12-17 21:42:08",,,,,"Based on John 6:16–21. Includes information for ordering a free New Testament Recovery Version from BfA. 6 x 4 inches.",1,,,0,/f/r/front.jpg,,No,,,,,,,,,," Tract ""Is Jesus In Your Boat?"" English",,,"Block after Info Column",,0.0500,0,"Based on John 6:16–21. Includes information for ordering a free New Testament Recovery Version from BfA. 6 x 4 inches.",/f/r/front_small.jpg,,"2011-01-11 00:00:00",0.0500,,1,2,/f/r/front_small.jpg,,"2011-01-12 00:49:10",gospel-tract-english-is-jesus-in-your-boat,gospel-tract-english-is-jesus-in-your-boat.html,1,0.0034,134649.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/f/r/front_small.jpg,,1,1
,,,,,tracts_bfa_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/f/r/front.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/f/r/front_zoomed.jpg,,4,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/b/a/back.jpg,,3,0
2228-138,,Default,simple,,base,,,,"2010-12-17 21:42:11",,,,,"<p><em>Gospel tract: &ldquo;Is Jesus in Your &lsquo;Boat&rsquo;?&rdquo;</em>&#8212;Se basa en la historia del evangelio de Juan 6:16-21. Incluye informaci&oacute;n para ordenar un ejemplar gratuito del Nuevo Testamento Versi&oacute;n Recobro de BfA. 5.25 x 3.75 pulgadas.</p>",1,,,0,/l/r/lrg_jesusboat_spanish.jpg,,No,,,,,,,,,," Tract ""Is Jesus In Your Boat?"" SPANISH",,,"Block after Info Column",,0.0500,0,"<p><em>Gospel tract: &ldquo;Is Jesus in Your &lsquo;Boat&rsquo;?&rdquo;</em>&#8212;Se basa en la historia del evangelio de Juan 6:16-21. Incluye informaci&oacute;n para ordenar un ejemplar gratuito del Nuevo Testamento Versi&oacute;n Recobro de BfA. 5.25 x 3.75 pulgadas.</p>",/t/h/th_jesusboat_spanish.jpg,,"2011-07-25 00:00:00",0.0500,,1,2,/t/h/th_jesusboat_spanish.jpg,,"2011-07-25 20:59:00",tratado-evangelistico-esta-jesus-en-tu-barca,tratado-evangelistico-esta-jesus-en-tu-barca.html,1,0.0034,57838.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/th_jesusboat_spanish.jpg,,1,1
,,,,,tracts_bfa_org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_jesusboat_spanish.jpg,,2,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_jesusboat_spanish3.jpg,,3,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/l/r/lrg_jesusboat_spanish2.jpg,,4,0
1228-140,,Default,simple,,base,,,,"2010-12-17 21:42:16",,,,,"Based on 1 Thessalonians 5:23. Includes information for ordering a free New Testament Recovery Version from BfA. Also available in Spanish. 6 x 4 inches.",1,,,0,/l/r/lrg_thethirdpart.jpg,,No,,,,,,,,,," Tract ""The Third Part"" English",,,"Block after Info Column",,0.0500,0,"Based on 1 Thessalonians 5:23. Includes information for ordering a free New Testament Recovery Version from BfA. Also available in Spanish. 6 x 4 inches.",/t/h/th_thethirdpart.jpg,,"2011-01-11 00:00:00",0.0500,,1,2,/t/h/th_thethirdpart.jpg,,"2011-01-12 00:48:28",gospel-tract-english-the-third-part,gospel-tract-english-the-third-part.html,1,0.0034,0.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,0.0000,1,0,1,1,1,0.0000,1,0,,,,,,,,,,,,,,77,/t/h/th_thethirdpart.jpg,,1,1
